data_type	cell_line	hpcc_directory	local_files_to_encode_files	encode_experiment_accessions	assay	target_or_signal	assembly	validation_status	notes
H3K36me3	K562	/rhome/yzhan677/bigdata/H3K36me3/K562	ENCFF504HFV.bigWig=ENCFF504HFV;ENCFF053DAC.bed=ENCFF053DAC	ENCSR000AKR	Histone ChIP-seq	H3K36me3	GRCh38	validated	bigWig is signal p-value; BED is replicated peaks
H3K36me3	GM12878	/rhome/yzhan677/bigdata/H3K36me3/GM12878	ENCFF397UEP.bigWig=ENCFF397UEP;ENCFF268HMO.bed=ENCFF268HMO	ENCSR000DRW	Histone ChIP-seq	H3K36me3	GRCh38	validated	bigWig is signal p-value; BED is replicated peaks
H3K36me3	H1	/rhome/yzhan677/bigdata/H3K36me3/H1	ENCFF985CVI.bigWig=ENCFF985CVI;ENCFF504KOV.bed=ENCFF504KOV	ENCSR000ANB	Histone ChIP-seq	H3K36me3	GRCh38	validated	bigWig is signal p-value; BED is pseudoreplicated peaks
H3K36me3	IMR-90	/rhome/yzhan677/bigdata/H3K36me3/IMR-90	ENCFF314QXF.bigWig=ENCFF314QXF;ENCFF449ADN.bed=ENCFF449ADN	ENCSR437ORF	Histone ChIP-seq	H3K36me3	GRCh38	validated	bigWig is signal p-value; BED is pseudoreplicated peaks
H3K36me3	HepG2	/rhome/yzhan677/bigdata/H3K36me3/HepG2	ENCFF094ZKB.bigWig=ENCFF094ZKB;ENCFF489ZNJ.bed=ENCFF489ZNJ	ENCSR000AMB	Histone ChIP-seq	H3K36me3	GRCh38	validated	bigWig is signal p-value; BED is replicated peaks
H3K36me3	HeLa-S3	/rhome/yzhan677/bigdata/H3K36me3/HeLa-S3	ENCFF533LRJ.bigWig=ENCFF533LRJ;ENCFF054TNJ.bed=ENCFF054TNJ	ENCSR000AOD	Histone ChIP-seq	H3K36me3	GRCh38	validated	bigWig is signal p-value; BED is replicated peaks
H3K36me3	GM23248	/rhome/yzhan677/bigdata/H3K36me3/GM23248	ENCFF559DZX.bigWig=ENCFF559DZX;ENCFF922AFS.bed=ENCFF922AFS	ENCSR914AWT	Histone ChIP-seq	H3K36me3	GRCh38	validated	bigWig is signal p-value; BED is pseudoreplicated peaks
H3K36me3	SK-N-SH	/rhome/yzhan677/bigdata/H3K36me3/SK-N-SH	ENCFF656AMD.bigWig=ENCFF656AMD;ENCFF140RVM.bed=ENCFF140RVM	ENCSR978CNH	Histone ChIP-seq	H3K36me3	GRCh38	validated	bigWig is signal p-value; BED is replicated peaks
DHS	K562	/rhome/yzhan677/bigdata/DHS/K562	ENCFF972GVB.bigWig=ENCFF972GVB;ENCFF274YGF.bed=ENCFF274YGF	ENCSR000EKS	DNase-seq	DHS	GRCh38	validated	bigWig is read-depth normalized signal; BED is peaks
DHS	GM12878	/rhome/yzhan677/bigdata/DHS/GM12878	ENCFF743ULW.bigWig=ENCFF743ULW;ENCFF073ORT.bed=ENCFF073ORT	ENCSR000EMT	DNase-seq	DHS	GRCh38	validated	bigWig is read-depth normalized signal; BED is peaks
