Class	Category	Original_ID	ENCODE_Target	Cell_Line	Experiment	Assay	Selected_File	Assembly	Output_Type	Biological_Replicates	Date_For_Choice	Date_Released	Date_Created	Download_URL	Experiment_Link	File_Link
positive_only	RBP	PCBP1	PCBP1	HepG2	ENCSR256CHX	eCLIP	ENCFF098REE	GRCh38	peaks	1,2	2018-08-30	2018-08-30	2018-12-03T15:25:00.672373+00:00	https://www.encodeproject.org/files/ENCFF098REE/@@download/ENCFF098REE.bed.gz	https://www.encodeproject.org/experiments/ENCSR256CHX/	https://www.encodeproject.org/files/ENCFF098REE/
positive_only	RBP	PCBP2	PCBP2	HepG2	ENCSR339FUY	eCLIP	ENCFF642GNE	GRCh38	peaks	1,2	2015-11-09	2015-11-09	2018-12-03T15:16:59.821251+00:00	https://www.encodeproject.org/files/ENCFF642GNE/@@download/ENCFF642GNE.bed.gz	https://www.encodeproject.org/experiments/ENCSR339FUY/	https://www.encodeproject.org/files/ENCFF642GNE/
positive_only	RBP	SF3B4	SF3B4	HepG2	ENCSR279UJF	eCLIP	ENCFF073IJF	GRCh38	peaks	1,2	2015-11-09	2015-11-09	2018-12-03T15:13:59.776668+00:00	https://www.encodeproject.org/files/ENCFF073IJF/@@download/ENCFF073IJF.bed.gz	https://www.encodeproject.org/experiments/ENCSR279UJF/	https://www.encodeproject.org/files/ENCFF073IJF/
positive_only	RBP	SFPQ	SFPQ	HepG2	ENCSR965DLL	eCLIP	ENCFF139NXB	GRCh38	peaks	1,2	2016-04-26	2016-04-26	2018-12-03T15:18:42.504104+00:00	https://www.encodeproject.org/files/ENCFF139NXB/@@download/ENCFF139NXB.bed.gz	https://www.encodeproject.org/experiments/ENCSR965DLL/	https://www.encodeproject.org/files/ENCFF139NXB/
positive_only	RBP	SRSF9	SRSF9	HepG2	ENCSR773KRC	eCLIP	ENCFF765PIF	GRCh38	peaks	1,2	2015-07-15	2015-07-15	2018-12-03T15:13:32.620311+00:00	https://www.encodeproject.org/files/ENCFF765PIF/@@download/ENCFF765PIF.bed.gz	https://www.encodeproject.org/experiments/ENCSR773KRC/	https://www.encodeproject.org/files/ENCFF765PIF/
positive_only	RBP	MBNL1	MBNL1	K562	ENCSR497XZI	eCLIP	ENCFF603WDI	GRCh38	peaks	1,2	2022-07-19	2022-07-19	2022-01-12T21:47:01.666107+00:00	https://www.encodeproject.org/files/ENCFF603WDI/@@download/ENCFF603WDI.bed.gz	https://www.encodeproject.org/experiments/ENCSR497XZI/	https://www.encodeproject.org/files/ENCFF603WDI/
positive_only	RBP	NONO	NONO	K562	ENCSR861PAR	eCLIP	ENCFF730QRI	GRCh38	peaks	1,2	2015-11-09	2015-11-09	2018-12-03T15:17:52.085088+00:00	https://www.encodeproject.org/files/ENCFF730QRI/@@download/ENCFF730QRI.bed.gz	https://www.encodeproject.org/experiments/ENCSR861PAR/	https://www.encodeproject.org/files/ENCFF730QRI/
positive_only	RBP	PCBP1	PCBP1	K562	ENCSR922WJV	eCLIP	ENCFF900IOH	GRCh38	peaks	1,2	2018-08-30	2018-08-30	2018-12-03T15:25:46.127556+00:00	https://www.encodeproject.org/files/ENCFF900IOH/@@download/ENCFF900IOH.bed.gz	https://www.encodeproject.org/experiments/ENCSR922WJV/	https://www.encodeproject.org/files/ENCFF900IOH/
positive_only	RBP	SF3B4	SF3B4	K562	ENCSR267OLV	eCLIP	ENCFF649GEE	GRCh38	peaks	1,2	2016-04-26	2016-04-26	2018-12-03T15:20:27.886092+00:00	https://www.encodeproject.org/files/ENCFF649GEE/@@download/ENCFF649GEE.bed.gz	https://www.encodeproject.org/experiments/ENCSR267OLV/	https://www.encodeproject.org/files/ENCFF649GEE/
positive_only	RBP	SRSF9	SRSF9	K562	ENCSR381VNR	eCLIP	ENCFF781BNS	GRCh38	peaks	1,2	2022-07-19	2022-07-19	2022-01-12T21:45:25.163354+00:00	https://www.encodeproject.org/files/ENCFF781BNS/@@download/ENCFF781BNS.bed.gz	https://www.encodeproject.org/experiments/ENCSR381VNR/	https://www.encodeproject.org/files/ENCFF781BNS/
positive_only	TF	E2F8	E2F8	GM12878	ENCSR793HVL	TF ChIP-seq	ENCFF412GFI	GRCh38	optimal IDR thresholded peaks	1,2	2018-01-26	2018-01-26	2016-10-24T16:01:28.050515+00:00	https://www.encodeproject.org/files/ENCFF412GFI/@@download/ENCFF412GFI.bed.gz	https://www.encodeproject.org/experiments/ENCSR793HVL/	https://www.encodeproject.org/files/ENCFF412GFI/
positive_only	TF	KLF5	KLF5	GM12878	ENCSR974OFJ	TF ChIP-seq	ENCFF417WPC	GRCh38	optimal IDR thresholded peaks	1,2	2014-07-07	2014-07-07	2016-10-31T16:08:18.010071+00:00	https://www.encodeproject.org/files/ENCFF417WPC/@@download/ENCFF417WPC.bed.gz	https://www.encodeproject.org/experiments/ENCSR974OFJ/	https://www.encodeproject.org/files/ENCFF417WPC/
positive_only	TF	REST	REST	GM12878	ENCSR000BQS	TF ChIP-seq	ENCFF313CII	GRCh38	optimal IDR thresholded peaks	1,2	2012-02-29	2012-02-29	2016-12-16T08:43:10.258304+00:00	https://www.encodeproject.org/files/ENCFF313CII/@@download/ENCFF313CII.bed.gz	https://www.encodeproject.org/experiments/ENCSR000BQS/	https://www.encodeproject.org/files/ENCFF313CII/
positive_only	TF	E2F8	E2F8	HepG2	ENCSR634GEO	TF ChIP-seq	ENCFF780JMA	GRCh38	IDR thresholded peaks	1,2	2022-08-15	2022-08-15	2022-07-23T00:59:10.166728+00:00	https://www.encodeproject.org/files/ENCFF780JMA/@@download/ENCFF780JMA.bed.gz	https://www.encodeproject.org/experiments/ENCSR634GEO/	https://www.encodeproject.org/files/ENCFF780JMA/
positive_only	TF	KLF11	KLF11	HepG2	ENCSR616OSG	TF ChIP-seq	ENCFF443QKY	GRCh38	optimal IDR thresholded peaks	1,2	2016-11-08	2016-11-08	2016-11-07T22:50:46.381873+00:00	https://www.encodeproject.org/files/ENCFF443QKY/@@download/ENCFF443QKY.bed.gz	https://www.encodeproject.org/experiments/ENCSR616OSG/	https://www.encodeproject.org/files/ENCFF443QKY/
positive_only	TF	KLF12	KLF12	HepG2	ENCSR552YWL	TF ChIP-seq	ENCFF124UUN	GRCh38	IDR thresholded peaks	1,2	2020-07-08	2020-07-08	2020-07-07T22:58:28.828359+00:00	https://www.encodeproject.org/files/ENCFF124UUN/@@download/ENCFF124UUN.bed.gz	https://www.encodeproject.org/experiments/ENCSR552YWL/	https://www.encodeproject.org/files/ENCFF124UUN/
positive_only	TF	KLF13	KLF13	HepG2	ENCSR756SZU	TF ChIP-seq	ENCFF494FXL	GRCh38	IDR thresholded peaks	1,2	2020-08-17	2020-08-17	2020-05-14T18:21:57.302163+00:00	https://www.encodeproject.org/files/ENCFF494FXL/@@download/ENCFF494FXL.bed.gz	https://www.encodeproject.org/experiments/ENCSR756SZU/	https://www.encodeproject.org/files/ENCFF494FXL/
positive_only	TF	KLF15	KLF15	HepG2	ENCSR860ONE	TF ChIP-seq	ENCFF663PTR	GRCh38	IDR thresholded peaks	1,2	2023-01-19	2023-01-19	2023-01-10T16:56:27.512391+00:00	https://www.encodeproject.org/files/ENCFF663PTR/@@download/ENCFF663PTR.bed.gz	https://www.encodeproject.org/experiments/ENCSR860ONE/	https://www.encodeproject.org/files/ENCFF663PTR/
positive_only	TF	KLF16	KLF16	HepG2	ENCSR913KJZ	TF ChIP-seq	ENCFF194QYM	GRCh38	IDR thresholded peaks	1,2	2023-01-10	2023-01-10	2022-07-23T00:38:13.392877+00:00	https://www.encodeproject.org/files/ENCFF194QYM/@@download/ENCFF194QYM.bed.gz	https://www.encodeproject.org/experiments/ENCSR913KJZ/	https://www.encodeproject.org/files/ENCFF194QYM/
positive_only	TF	MYRF	MYRF	HepG2	ENCSR792MZV	TF ChIP-seq	ENCFF158PPW	GRCh38	optimal IDR thresholded peaks	1,2	2018-02-10	2018-02-10	2018-02-09T17:48:07.109881+00:00	https://www.encodeproject.org/files/ENCFF158PPW/@@download/ENCFF158PPW.bed.gz	https://www.encodeproject.org/experiments/ENCSR792MZV/	https://www.encodeproject.org/files/ENCFF158PPW/
positive_only	TF	REST	REST	HepG2	ENCSR000BOT	TF ChIP-seq	ENCFF669XCW	GRCh38	optimal IDR thresholded peaks	1,2	2012-02-29	2012-02-29	2016-12-16T08:42:37.758550+00:00	https://www.encodeproject.org/files/ENCFF669XCW/@@download/ENCFF669XCW.bed.gz	https://www.encodeproject.org/experiments/ENCSR000BOT/	https://www.encodeproject.org/files/ENCFF669XCW/
