result_dir	target	cell_line	run_id	all_events	up_events	down_events	status
ACO1_HepG2_result	ACO1	HepG2	ACO1_HepG2	250	129	121	ok
ARID3A_K562_result	ARID3A	K562	ARID3A_K562	172	98	74	ok
ARX_result	ARX		ARX	54	28	26	ok
BACH1_K562_result	BACH1	K562	BACH1_K562	171	97	74	ok
CPEB4_result	CPEB4		CPEB4	412	168	244	ok
DAZAP1_result	DAZAP1		DAZAP1	458	182	276	ok
DAZAP1_result_HepG2	DAZAP1	HepG2	DAZAP1_HepG2	148	92	56	ok
DLX1_K562_result	DLX1	K562	DLX1_K562	201	80	121	ok
E2F4_result	E2F4		E2F4	432	102	330	ok
E2F6_result	E2F6		E2F6	411	100	311	ok
E2F7_result	E2F7		E2F7	207	37	170	ok
EIF2S1_result	EIF2S1		EIF2S1	407	146	261	ok
EIF2S1_result_HepG2	EIF2S1	HepG2	EIF2S1_HepG2	150	76	74	ok
EIF4B_K562_result	EIF4B	K562	EIF4B_K562	217	69	148	ok
ERF_K562_result	ERF	K562	ERF_K562	212	133	79	ok
FMR1_K562_result	FMR1	K562	FMR1_K562	174	76	98	ok
FOXF2_result	FOXF2		FOXF2	90	51	39	ok
FOXM1_K562_result	FOXM1	K562	FOXM1_K562	252	101	151	ok
FUS_HepG2_result	FUS	HepG2	FUS_HepG2	224	93	131	ok
FXR1_K562_result	FXR1	K562	FXR1_K562	309	73	236	ok
FXR2_K562_result	FXR2	K562	FXR2_K562	157	35	122	ok
G3BP2_HepG2_result	G3BP2	HepG2	G3BP2_HepG2	198	158	40	ok
GATA1_result	GATA1		GATA1	395	119	276	ok
GATA2_K562_result	GATA2	K562	GATA2_K562	235	95	140	ok
GLI1_result	GLI1		GLI1	13	7	6	ok
HAND2_result	HAND2		HAND2	275	150	125	ok
HNRNPC_result	HNRNPC		HNRNPC	179	74	105	ok
HNRNPC_result_HepG2	HNRNPC	HepG2	HNRNPC_HepG2	118	81	37	ok
