Regulator,Regulator_Type,Candidate_Group,Cell_Line,iDiffIR_Down,iDiffIR_Up,Log2FC,MEME_qvalue_Rank,Source_Note
E2F7,TF,Positive,NA,170,37,,15,extracted_from_TF_knockdown_screenshot
KLF7,TF,Positive,NA,41,22,,32,extracted_from_TF_knockdown_screenshot
GATA1,TF,Positive,NA,276,119,,33,extracted_from_TF_knockdown_screenshot
KLF15,TF,Positive,NA,125,50,,34,extracted_from_TF_knockdown_screenshot
ZNF180,TF,Positive,NA,334,93,,35,extracted_from_TF_knockdown_screenshot
KLF16,TF,Positive,NA,64,106,,38,extracted_from_TF_knockdown_screenshot
KLF5,TF,Positive,NA,20,42,,44,extracted_from_TF_knockdown_screenshot
KLF11,TF,Positive,NA,18,5,,49,extracted_from_TF_knockdown_screenshot
E2F6,TF,Positive,NA,311,100,,67,extracted_from_TF_knockdown_screenshot
ZNF384,TF,Both,NA,346,89,,,extracted_from_TF_knockdown_screenshot
SOX15,TF,Both,NA,29,18,,,extracted_from_TF_knockdown_screenshot
POU6F1,TF,Both,NA,3,4,,,extracted_from_TF_knockdown_screenshot
NR4A1,TF,Both,NA,196,145,,,extracted_from_TF_knockdown_screenshot
TCF7L1,TF,Both,NA,21,20,,,extracted_from_TF_knockdown_screenshot
HOXC6,TF,Both,NA,48,59,,,extracted_from_TF_knockdown_screenshot
ARX,TF,Both,NA,26,28,,,extracted_from_TF_knockdown_screenshot
SOX13,TF,Both,NA,60,92,,,extracted_from_TF_knockdown_screenshot
FOXF2,TF,Both,NA,39,51,,,extracted_from_TF_knockdown_screenshot
TCF3,TF,Both,NA,132,142,,,extracted_from_TF_knockdown_screenshot
ZNF281,TF,Both,NA,15,27,,,extracted_from_TF_knockdown_screenshot
ZEB1,TF,Both,NA,118,70,,,extracted_from_TF_knockdown_screenshot
ZEB2,TF,Both,NA,139,98,,,extracted_from_TF_knockdown_screenshot
SOX17,TF,Both,NA,67,55,,,extracted_from_TF_knockdown_screenshot
SNAI1,TF,Both,NA,95,64,,,extracted_from_TF_knockdown_screenshot
TCF4,TF,Both,NA,134,114,,,extracted_from_TF_knockdown_screenshot
HAND2,TF,Both,NA,125,150,,,extracted_from_TF_knockdown_screenshot
PPARD,TF,Negative,NA,2,5,,,extracted_from_TF_knockdown_screenshot
GLI1,TF,Negative,NA,6,7,,,extracted_from_TF_knockdown_screenshot
RBM8A,RBP,Positive,K562,172,184,0.1,,extracted_from_RBP_knockdown_screenshot
PABPC4,RBP,Both,K562,104,245,1.23,,extracted_from_RBP_knockdown_screenshot
CPEB4,RBP,Both,K562,244,168,-0.54,,extracted_from_RBP_knockdown_screenshot
SRSF4,RBP,Both,K562,150,168,0.16,,extracted_from_RBP_knockdown_screenshot
YBX1,RBP,Negative,K562,198,214,0.11,,extracted_from_RBP_knockdown_screenshot
NCL,RBP,Uncategorized,K562,280,190,-0.56,,extracted_from_RBP_knockdown_screenshot
PCBP1,RBP,Positive,K562,190,193,0.02,,extracted_from_RBP_knockdown_screenshot
TIA1,RBP,Both,K562,278,124,-1.17,,extracted_from_RBP_knockdown_screenshot
HNRNPC,RBP,Both,K562,105,74,-0.5,,extracted_from_RBP_knockdown_screenshot
NONO,RBP,Positive,K562,363,89,-2.03,,extracted_from_RBP_knockdown_screenshot
U2AF2,RBP,Both,K562,32,159,2.29,,extracted_from_RBP_knockdown_screenshot
PCBP3,RBP,Positive,K562,224,182,-0.3,,extracted_from_RBP_knockdown_screenshot
MBNL1,RBP,Positive,K562,172,221,0.36,,extracted_from_RBP_knockdown_screenshot
DAZAP1,RBP,Positive,K562,276,182,-0.6,,extracted_from_RBP_knockdown_screenshot
SF3B4,RBP,Positive,K562,91,230,1.33,,extracted_from_RBP_knockdown_screenshot
SRSF9,RBP,Positive,K562,254,159,-0.67,,extracted_from_RBP_knockdown_screenshot
EIF2S1,RBP,Negative,K562,261,146,-0.84,,extracted_from_RBP_knockdown_screenshot
SRSF7,RBP,Negative,K562,215,162,-0.41,,extracted_from_RBP_knockdown_screenshot
MATR3,RBP,Negative,K562,301,163,-0.41,,extracted_from_RBP_knockdown_screenshot
PABPC4,RBP,Both,HepG2,84,99,0.24,,extracted_from_RBP_knockdown_screenshot
SRSF4,RBP,Both,HepG2,65,121,0.89,,extracted_from_RBP_knockdown_screenshot
YBX1,RBP,Negative,HepG2,125,53,-1.23,,extracted_from_RBP_knockdown_screenshot
NCL,RBP,Uncategorized,HepG2,57,80,0.48,,extracted_from_RBP_knockdown_screenshot
PCBP1,RBP,Positive,HepG2,75,58,-0.37,,extracted_from_RBP_knockdown_screenshot
TIA1,RBP,Both,HepG2,90,94,0.06,,extracted_from_RBP_knockdown_screenshot
HNRNPC,RBP,Both,HepG2,37,81,1.13,,extracted_from_RBP_knockdown_screenshot
NONO,RBP,Positive,HepG2,65,45,-0.53,,extracted_from_RBP_knockdown_screenshot
U2AF2,RBP,Both,HepG2,23,150,2.7,,extracted_from_RBP_knockdown_screenshot
DAZAP1,RBP,Positive,HepG2,56,92,0.71,,extracted_from_RBP_knockdown_screenshot
SF3B4,RBP,Positive,HepG2,63,82,0.38,,extracted_from_RBP_knockdown_screenshot
SRSF9,RBP,Positive,HepG2,96,52,-0.88,,extracted_from_RBP_knockdown_screenshot
SNRNP70,RBP,Negative,HepG2,27,92,1.75,,extracted_from_RBP_knockdown_screenshot
EIF2S1,RBP,Negative,HepG2,74,76,0.04,,extracted_from_RBP_knockdown_screenshot
SRSF7,RBP,Negative,HepG2,23,60,1.36,,extracted_from_RBP_knockdown_screenshot
MATR3,RBP,Negative,HepG2,69,41,-0.74,,extracted_from_RBP_knockdown_screenshot
