Regulator,Regulator_Type,Candidate_Group,Cell_Line,iDiffIR_Down,iDiffIR_Up
EIF2S1,RBP,Negative-only,,261,146
EIF2S1,RBP,Negative-only,HepG2,74,76
MATR3,RBP,Negative-only,,301,163
MATR3,RBP,Negative-only,HepG2,69,41
SNRNP70,RBP,Negative-only,HepG2,27,92
SRSF7,RBP,Negative-only,,215,162
SRSF7,RBP,Negative-only,HepG2,23,60
YBX1,RBP,Negative-only,,198,214
YBX1,RBP,Negative-only,HepG2,125,53
YBX3,RBP,Negative-only,HepG2,111,65
DAZAP1,RBP,Positive-only,,276,182
DAZAP1,RBP,Positive-only,HepG2,56,92
MBNL1,RBP,Positive-only,,172,221
NONO,RBP,Positive-only,,363,89
NONO,RBP,Positive-only,HepG2,65,45
PCBP1,RBP,Positive-only,,190,193
PCBP1,RBP,Positive-only,HepG2,75,58
PCBP2,RBP,Positive-only,,155,238
PCBP2,RBP,Positive-only,HepG2,28,126
PCBP3,RBP,Positive-only,,224,182
RBM8A,RBP,Positive-only,,172,184
SF3B4,RBP,Positive-only,,91,230
SF3B4,RBP,Positive-only,HepG2,63,82
SRSF4,RBP,Positive-only,,150,168
SRSF4,RBP,Positive-only,HepG2,65,121
SRSF9,RBP,Positive-only,,254,159
SRSF9,RBP,Positive-only,HepG2,96,52
CPEB4,RBP,Both,,244,168
FMR1,RBP,Both,K562,98,76
FXR2,RBP,Both,K562,122,35
HNRNPC,RBP,Both,,105,74
HNRNPC,RBP,Both,HepG2,37,81
HNRNPL,RBP,Both,K562,174,98
HNRNPLL,RBP,Both,HepG2,72,100
KHDRBS1,RBP,Both,HepG2,238,49
PABPC1,RBP,Both,K562,82,139
PABPC4,RBP,Both,,104,245
PABPC4,RBP,Both,HepG2,84,99
PTBP1,RBP,Both,K562,250,64
TIA1,RBP,Both,,278,124
TIA1,RBP,Both,HepG2,90,94
U2AF2,RBP,Both,,32,159
U2AF2,RBP,Both,HepG2,23,150
FOXF2,TF,Negative-only,,39,51
GLI1,TF,Negative-only,,6,7
MAZ,TF,Negative-only,,82,27
PPARD,TF,Negative-only,,2,5
KLF11,TF,Positive-only,,18,5
KLF15,TF,Positive-only,,125,50
KLF16,TF,Positive-only,,64,106
KLF5,TF,Positive-only,,20,42
KLF7,TF,Positive-only,,41,22
SP1,TF,Positive-only,,249,160
ZNF180,TF,Positive-only,,334,93
ARX,TF,Both,,26,28
E2F7,TF,Both,,170,37
HAND2,TF,Both,,125,150
HOXC6,TF,Both,,48,59
NR4A1,TF,Both,,196,145
POU6F1,TF,Both,,4,3
SNAI1,TF,Both,,95,64
SOX13,TF,Both,,60,92
SOX15,TF,Both,,29,18
SOX17,TF,Both,,67,55
TCF3,TF,Both,,132,142
TCF4,TF,Both,,134,114
TCF7L1,TF,Both,,21,20
ZEB1,TF,Both,,118,70
ZEB2,TF,Both,,139,98
ZNF281,TF,Both,,15,27
ZNF384,TF,Both,,346,89
