Class	Category	Assay	Cell_line	Original_ID	Target	Experiment	Peak_accession	Peak_file	start_in_gene_filter	IR_total_annotated	NonIR_total_annotated	IR_event_region_overlap	NonIR_event_region_overlap	IR_event_region_occupancy_%	NonIR_event_region_occupancy_%	event_region_peak_event_count_IR	event_region_peak_event_count_NonIR	event_region_odds_ratio	event_region_fisher_p_value	IR_intron_only_overlap	NonIR_intron_only_overlap	IR_intron_only_occupancy_%	NonIR_intron_only_occupancy_%	intron_only_peak_event_count_IR	intron_only_peak_event_count_NonIR	intron_only_odds_ratio	intron_only_fisher_p_value
positive_only	RBP	eCLIP	HepG2	PCBP1	PCBP1	ENCSR256CHX	ENCFF098REE	/rhome/yzhan677/bigdata/eCLIP_HepG2/PCBP1/PCBP1_HepG2_ENCSR256CHX_ENCFF098REE_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	30	130	5.9760956175298805	1.5103985128383872	68	223	4.144556714471968	2.457034994938692e-09	8	5	1.593625498007968	0.05809225049378413	18	5	27.860728744939273	8.112774514475688e-08
positive_only	RBP	eCLIP	HepG2	PCBP2	PCBP2	ENCSR339FUY	ENCFF642GNE	/rhome/yzhan677/bigdata/eCLIP_HepG2/PCBP2/PCBP2_HepG2_ENCSR339FUY_ENCFF642GNE_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	89	647	17.729083665338646	7.5171372138956665	233	1292	2.6512381601056845	6.454955900912209e-13	33	54	6.573705179282868	0.6273963053328686	77	73	11.144633972992182	6.792961090607822e-20
positive_only	RBP	eCLIP	HepG2	SF3B4	SF3B4	ENCSR279UJF	ENCFF073IJF	/rhome/yzhan677/bigdata/eCLIP_HepG2/SF3B4/SF3B4_HepG2_ENCSR279UJF_ENCFF073IJF_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	173	926	34.462151394422314	10.75868479144882	358	1889	4.361711974896112	5.771891490654196e-42	107	262	21.314741035856574	3.0440339258742886	163	280	8.628031693883466	2.0507380622196172e-50
positive_only	RBP	eCLIP	HepG2	SFPQ	SFPQ	ENCSR965DLL	ENCFF139NXB	/rhome/yzhan677/bigdata/eCLIP_HepG2/SFPQ/SFPQ_HepG2_ENCSR965DLL_ENCFF139NXB_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	6	41	1.1952191235059761	0.4763564540490299	12	98	2.527340676632573	0.042939314037117024	4	1	0.796812749003984	0.011618450098756826	10	1	69.12449799196787	4.360677139501073e-05
positive_only	RBP	eCLIP	HepG2	SRSF9	SRSF9	ENCSR773KRC	ENCFF765PIF	/rhome/yzhan677/bigdata/eCLIP_HepG2/SRSF9/SRSF9_HepG2_ENCSR773KRC_ENCFF765PIF_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	40	41	7.968127490039841	0.4763564540490299	58	61	18.088902966951746	2.578409663302296e-29	14	4	2.788844621513944	0.046473800395027305	23	4	61.70184426229508	4.996329600911751e-15
positive_only	RBP	eCLIP	K562	MBNL1	MBNL1	ENCSR497XZI	ENCFF603WDI	/rhome/yzhan677/bigdata/eCLIP_K562/MBNL1/MBNL1_K562_ENCSR497XZI_ENCFF603WDI_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	75	70	2.835538752362949	1.2201499041310788	135	151	2.362562534741523	4.7393207709901913e-07	30	2	1.1342155009451798	0.03486142583231654	46	2	32.896749521988525	2.0194204329510043e-13
positive_only	RBP	eCLIP	K562	NONO	NONO	ENCSR861PAR	ENCFF730QRI	/rhome/yzhan677/bigdata/eCLIP_K562/NONO/NONO_K562_ENCSR861PAR_ENCFF730QRI_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	143	95	5.406427221172023	1.6559177270350358	827	527	3.3943624048129917	5.911414613666776e-20	90	14	3.402646502835539	0.2440299808262158	399	29	14.399496785015376	1.4109784679390943e-31
positive_only	RBP	eCLIP	K562	PCBP1	PCBP1	ENCSR922WJV	ENCFF900IOH	/rhome/yzhan677/bigdata/eCLIP_K562/PCBP1/PCBP1_K562_ENCSR922WJV_ENCFF900IOH_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	115	125	4.3478260869565215	2.178839114519784	197	257	2.0407272727272727	9.391985709315922e-08	33	4	1.2476370510396975	0.06972285166463307	49	4	18.107676110260336	3.9936508535819184e-13
positive_only	RBP	eCLIP	K562	SF3B4	SF3B4	ENCSR267OLV	ENCFF649GEE	/rhome/yzhan677/bigdata/eCLIP_K562/SF3B4/SF3B4_K562_ENCSR267OLV_ENCFF649GEE_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	706	999	26.69187145557656	17.41328220324211	1246	2182	1.7268573369656401	5.489436059461996e-22	386	181	14.593572778827976	3.1549590378246473	504	201	5.245111634493334	1.588498124559034e-76
positive_only	RBP	eCLIP	K562	SRSF9	SRSF9	ENCSR381VNR	ENCFF781BNS	/rhome/yzhan677/bigdata/eCLIP_K562/SRSF9/SRSF9_K562_ENCSR381VNR_ENCFF781BNS_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	5	2	0.1890359168241966	0.03486142583231654	12	2	5.430871212121212	0.035761804232187944	4	0	0.15122873345935728	0.0	11	0	inf	0.009900050214103376
positive_only	TF	TF ChIP-seq	GM12878	E2F8	E2F8	ENCSR793HVL	ENCFF412GFI	/rhome/yzhan677/bigdata/ChIP-seq_GM12878/E2F8/E2F8_GM12878_ENCSR793HVL_ENCFF412GFI_GRCh38_rep1-2.narrowPeak.bed	yes	2995	6877	80	177	2.671118530884808	2.573796713683292	102	273	1.0388502873312595	0.7835122831500986	31	24	1.0350584307178632	0.3489893849062091	35	27	2.986434435447593	8.45929051671045e-05
positive_only	TF	TF ChIP-seq	GM12878	KLF5	KLF5	ENCSR974OFJ	ENCFF417WPC	/rhome/yzhan677/bigdata/ChIP-seq_GM12878/KLF5/KLF5_GM12878_ENCSR974OFJ_ENCFF417WPC_GRCh38_rep1-2.narrowPeak.bed	yes	2995	6877	121	306	4.040066777963272	4.449614657554166	176	490	0.9040837165299894	0.38923732445340076	50	42	1.669449081803005	0.6107314235858659	64	47	2.7629557765381194	1.773834786615263e-06
positive_only	TF	TF ChIP-seq	GM12878	REST	REST	ENCSR000BQS	ENCFF313CII	/rhome/yzhan677/bigdata/ChIP-seq_GM12878/REST/REST_GM12878_ENCSR000BQS_ENCFF313CII_GRCh38_rep1-2.narrowPeak.bed	yes	2995	6877	37	143	1.2353923205342237	2.0793950850661624	40	150	0.5890343598254348	0.004037908353823639	17	24	0.5676126878130217	0.3489893849062091	17	24	1.6300229460488023	0.12715943474301694
positive_only	TF	TF ChIP-seq	HepG2	E2F8	E2F8	ENCSR634GEO	ENCFF780JMA	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/E2F8/E2F8_HepG2_ENCSR634GEO_ENCFF780JMA_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	58	727	11.553784860557768	8.446613221796213	99	1287	1.4159138505768492	0.021553498002247956	26	162	5.179282868525896	1.8821889159986056	39	193	2.847416744475568	1.2286613197409059e-05
positive_only	TF	TF ChIP-seq	HepG2	KLF11	KLF11	ENCSR616OSG	ENCFF443QKY	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/KLF11/KLF11_HepG2_ENCSR616OSG_ENCFF443QKY_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	30	359	5.9760956175298805	4.1710235854537006	42	600	1.4602709975921817	0.06779228448141258	13	64	2.589641434262948	0.7435808063204369	20	72	3.5486643660531696	0.00026434834992013174
positive_only	TF	TF ChIP-seq	HepG2	KLF12	KLF12	ENCSR552YWL	ENCFF124UUN	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/KLF12/KLF12_HepG2_ENCSR552YWL_ENCFF124UUN_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	39	385	7.768924302788845	4.473103288021378	59	584	1.79887240189616	0.001453622355986	20	73	3.9840637450199203	0.8481468572092483	25	98	4.850792929005855	1.1293966744176348e-07
positive_only	TF	TF ChIP-seq	HepG2	KLF13	KLF13	ENCSR756SZU	ENCFF494FXL	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/KLF13/KLF13_HepG2_ENCSR756SZU_ENCFF494FXL_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	28	157	5.577689243027888	1.8240966655048219	29	191	3.1793383321239483	9.273341024490393e-07	13	27	2.589641434262948	0.3136981526664343	13	32	8.448079981822312	1.1299877432272453e-07
positive_only	TF	TF ChIP-seq	HepG2	KLF15	KLF15	ENCSR860ONE	ENCFF663PTR	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/KLF15/KLF15_HepG2_ENCSR860ONE_ENCFF663PTR_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	24	134	4.780876494023905	1.5568723132334146	34	190	3.1747954786735777	5.2407759913473594e-06	7	26	1.394422310756972	0.30207970256767747	12	31	4.667210567210567	0.00180645789198075
positive_only	TF	TF ChIP-seq	HepG2	KLF16	KLF16	ENCSR913KJZ	ENCFF194QYM	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/KLF16/KLF16_HepG2_ENCSR913KJZ_ENCFF194QYM_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	8	78	1.593625498007968	0.9062391077030324	13	84	1.7707879165369045	0.14582724457569385	3	17	0.5976095617529881	0.19751365167886603	8	17	3.0378403866556645	0.09454961910890623
