Class	Category	Assay	Cell_line	Original_ID	Target	Experiment	Peak_accession	Peak_file	start_in_gene_filter	IR_total_annotated	NonIR_total_annotated	IR_event_region_overlap	NonIR_event_region_overlap	IR_event_region_occupancy_%	NonIR_event_region_occupancy_%	event_region_peak_event_count_IR	event_region_peak_event_count_NonIR	event_region_odds_ratio	event_region_fisher_p_value	IR_intron_only_overlap	NonIR_intron_only_overlap	IR_intron_only_occupancy_%	NonIR_intron_only_occupancy_%	intron_only_peak_event_count_IR	intron_only_peak_event_count_NonIR	intron_only_odds_ratio	intron_only_fisher_p_value
control	TF	TF ChIP-seq	GM12878	JUND	JUND	ENCSR000DYS	ENCFF873DJD	/bigdata/wmalab/yzhan677/ChIP-seq_GM12878/JUND/JUND_GM12878_ENCSR000DYS_ENCFF873DJD_GRCh38_rep1-2.narrowPeak.bed	yes	2995	6877	69	306	2.303839732888147	4.449614657554166	79	341	0.5063896371945907	1.1445684190804625e-07	28	38	0.9348914858096827	0.5525665261014978	31	41	1.6984371951111348	0.042831272864903853
control	TF	TF ChIP-seq	GM12878	MEF2A	MEF2A	ENCSR000BKB	ENCFF958GXF	/bigdata/wmalab/yzhan677/ChIP-seq_GM12878/MEF2A/MEF2A_GM12878_ENCSR000BKB_ENCFF958GXF_GRCh38_rep1-2.narrowPeak.bed	yes	2995	6877	170	724	5.676126878130217	10.52784644467064	222	1291	0.5114213073876693	1.1026104075948754e-15	71	113	2.370617696160267	1.6431583539334012	81	121	1.453470212946261	0.01860349542186573
control	TF	TF ChIP-seq	GM12878	TBP	TBP	ENCSR000DZZ	ENCFF896UZB	/bigdata/wmalab/yzhan677/ChIP-seq_GM12878/TBP/TBP_GM12878_ENCSR000DZZ_ENCFF896UZB_GRCh38_rep1-2.narrowPeak.bed	yes	2995	6877	137	407	4.574290484140234	5.918278319034463	200	935	0.7620232357811084	0.00717047673851009	66	76	2.2036727879799667	1.1051330522029956	79	91	2.0164327685037104	4.619677102204327e-05
control	TF	TF ChIP-seq	HepG2	E2F1	E2F1	ENCSR717ZZW	ENCFF049BWK	/bigdata/wmalab/yzhan677/ChIP-seq_HepG2/E2F1/E2F1_HepG2_ENCSR717ZZW_ENCFF049BWK_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	20	258	3.9840637450199203	2.997560125479261	30	387	1.342757888642285	0.22732909774543464	9	51	1.7928286852589643	0.5925409550365981	11	66	3.062641689535855	0.005225523349576408
control	TF	TF ChIP-seq	HepG2	ETV5	ETV5	ENCSR096IIB	ENCFF923NCW	/bigdata/wmalab/yzhan677/ChIP-seq_HepG2/ETV5/ETV5_HepG2_ENCSR096IIB_ENCFF923NCW_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	46	870	9.163346613545817	10.108051585918439	64	1419	0.8971113127646703	0.541556421621108	20	141	3.9840637450199203	1.6382014639247124	23	150	2.4913922486095172	0.0006260275140847104
control	TF	TF ChIP-seq	HepG2	JUND	JUND	ENCSR282ZLP	ENCFF383BYS	/bigdata/wmalab/yzhan677/ChIP-seq_HepG2/JUND/JUND_HepG2_ENCSR282ZLP_ENCFF383BYS_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	30	449	5.9760956175298805	5.216684094341815	39	683	1.1548261673776	0.4705599933791411	16	63	3.187250996015936	0.73196235622168	19	74	4.464824612972762	4.862471598501107e-06
control	TF	TF ChIP-seq	HepG2	LCORL	LCORL	ENCSR880PMU	ENCFF606UCO	/bigdata/wmalab/yzhan677/ChIP-seq_HepG2/LCORL/LCORL_HepG2_ENCSR880PMU_ENCFF606UCO_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	57	974	11.354581673306772	11.316370396189148	99	1970	1.003809150266479	0.9423334609596516	24	221	4.780876494023905	2.5676774718252586	41	273	1.905223499119635	0.006260883642358153
control	TF	TF ChIP-seq	HepG2	MEF2A	MEF2A	ENCSR291MJH	ENCFF938PFW	/bigdata/wmalab/yzhan677/ChIP-seq_HepG2/MEF2A/MEF2A_HepG2_ENCSR291MJH_ENCFF938PFW_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	14	289	2.788844621513944	3.3577320785407228	19	410	0.8257133132906007	0.6076825000920547	7	34	1.394422310756972	0.39502730335773206	11	39	3.565715983363042	0.006497796513517429
control	TF	TF ChIP-seq	HepG2	SMAD4	SMAD4	ENCSR826YMT	ENCFF541EKJ	/bigdata/wmalab/yzhan677/ChIP-seq_HepG2/SMAD4/SMAD4_HepG2_ENCSR826YMT_ENCFF541EKJ_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	67	1194	13.346613545816732	13.872429417915649	93	2243	0.9562583030092994	0.790410675423132	24	197	4.780876494023905	2.288834669455095	29	219	2.1434488031773675	0.0014116178913218293
control	TF	TF ChIP-seq	HepG2	TBP	TBP	ENCSR798KXG	ENCFF196KRF	/bigdata/wmalab/yzhan677/ChIP-seq_HepG2/TBP/TBP_HepG2_ENCSR798KXG_ENCFF196KRF_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	13	58	2.589641434262948	0.673870105727896	20	76	3.9185177349975318	0.00011316430287248846	7	6	1.394422310756972	0.06971070059254096	9	6	20.27171717171717	1.9014651286540274e-06
