Class	Category	Assay	Cell_line	Original_ID	Target	Experiment	Peak_accession	Peak_file	start_in_gene_filter	IR_total_annotated	NonIR_total_annotated	IR_event_region_overlap	NonIR_event_region_overlap	IR_event_region_occupancy_%	NonIR_event_region_occupancy_%	event_region_peak_event_count_IR	event_region_peak_event_count_NonIR	event_region_odds_ratio	event_region_fisher_p_value	IR_intron_only_overlap	NonIR_intron_only_overlap	IR_intron_only_occupancy_%	NonIR_intron_only_occupancy_%	intron_only_peak_event_count_IR	intron_only_peak_event_count_NonIR	intron_only_odds_ratio	intron_only_fisher_p_value	Source_File	metric	IR_occupancy_rate_corrected	NonIR_occupancy_rate_corrected	occupancy_ratio_corrected	log2_IR_vs_nonIR_occupancy_ratio	delta_occupancy_%	raw_occupancy_ratio	minus_log10_fisher_p
positive_only	RBP	eCLIP	HepG2	PCBP1	PCBP1	ENCSR256CHX	ENCFF098REE	/rhome/yzhan677/bigdata/eCLIP_HepG2/PCBP1/PCBP1_HepG2_ENCSR256CHX_ENCFF098REE_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	30	130	5.9760956175298805	1.5103985128383872	68	223	4.144556714471968	2.457034994938692e-09	8	5	1.593625498007968	0.0580922504937841	18	5	27.860728744939276	8.112774514475688e-08	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.06063618290258449	0.015160315985130112	3.99966484617201	1.9998791137440988	4.465697104691493	3.9566349984676683	8.609588657927516
positive_only	RBP	eCLIP	HepG2	PCBP2	PCBP2	ENCSR339FUY	ENCFF642GNE	/rhome/yzhan677/bigdata/eCLIP_HepG2/PCBP2/PCBP2_HepG2_ENCSR339FUY_ENCFF642GNE_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	89	647	17.729083665338646	7.517137213895666	233	1292	2.6512381601056845	6.454955900912209e-13	33	54	6.573705179282868	0.6273963053328686	77	73	11.144633972992182	6.792961090607822e-20	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.1779324055666004	0.07522072490706319	2.3654704974784497	1.2421271674414371	10.21194645144298	2.358488765186549	12.190106720408545
positive_only	RBP	eCLIP	HepG2	SF3B4	SF3B4	ENCSR279UJF	ENCFF073IJF	/rhome/yzhan677/bigdata/eCLIP_HepG2/SF3B4/SF3B4_HepG2_ENCSR279UJF_ENCFF073IJF_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	173	926	34.462151394422314	10.75868479144882	358	1889	4.361711974896112	5.771891490654195e-42	107	262	21.31474103585657	3.044033925874289	163	280	8.628031693883466	2.050738062219617e-50	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.34493041749502984	0.10763243494423792	3.2047069981621337	1.6801924593020923	23.703466602973492	3.20319370466299	41.23868184207146
positive_only	RBP	eCLIP	HepG2	SFPQ	SFPQ	ENCSR965DLL	ENCFF139NXB	/rhome/yzhan677/bigdata/eCLIP_HepG2/SFPQ/SFPQ_HepG2_ENCSR965DLL_ENCFF139NXB_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	6	41	1.195219123505976	0.4763564540490299	12	98	2.527340676632573	0.042939314037117	4	1	0.796812749003984	0.0116184500987568	10	1	69.12449799196787	4.360677139501073e-05	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.012922465208747515	0.004821096654275093	2.6803995305276773	1.4224480595452644	0.718862669456946	2.5090856087843743	1.3671448977729523
positive_only	RBP	eCLIP	HepG2	SRSF9	SRSF9	ENCSR773KRC	ENCFF765PIF	/rhome/yzhan677/bigdata/eCLIP_HepG2/SRSF9/SRSF9_HepG2_ENCSR773KRC_ENCFF765PIF_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	40	41	7.968127490039841	0.4763564540490299	58	61	18.088902966951743	2.578409663302296e-29	14	4	2.788844621513944	0.0464738003950273	23	4	61.70184426229508	4.996329600911751e-15	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.0805168986083499	0.004821096654275093	16.700950920980144	4.061858344288797	7.491771035990811	16.72723739189583	28.58864807985416
positive_only	RBP	eCLIP	K562	MBNL1	MBNL1	ENCSR497XZI	ENCFF603WDI	/rhome/yzhan677/bigdata/eCLIP_K562/MBNL1/MBNL1_K562_ENCSR497XZI_ENCFF603WDI_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	75	70	2.835538752362949	1.2201499041310788	135	151	2.362562534741523	4.739320770990192e-07	30	2	1.1342155009451798	0.0348614258323165	46	2	32.896749521988525	2.0194204329510046e-13	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.028533635676492818	0.012286510979435344	2.322354631371855	1.215588293416273	1.6153888482318701	2.3239265460437486	6.324283895994317
positive_only	RBP	eCLIP	K562	NONO	NONO	ENCSR861PAR	ENCFF730QRI	/rhome/yzhan677/bigdata/eCLIP_K562/NONO/NONO_K562_ENCSR861PAR_ENCFF730QRI_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	143	95	5.406427221172023	1.6559177270350358	827	527	3.394362404812992	5.911414613666776e-20	90	14	3.402646502835539	0.2440299808262158	399	29	14.399496785015376	1.4109784679390943e-31	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.05423280423280423	0.016643429766469153	3.258511316102939	1.7042130051299267	3.750509494136987	3.264912943985673	19.228308579119595
positive_only	RBP	eCLIP	K562	PCBP1	PCBP1	ENCSR922WJV	ENCFF900IOH	/rhome/yzhan677/bigdata/eCLIP_K562/PCBP1/PCBP1_K562_ENCSR922WJV_ENCFF900IOH_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	115	125	4.3478260869565215	2.178839114519784	197	257	2.0407272727272727	9.391985709315923e-08	33	4	1.2476370510396977	0.069722851664633	49	4	18.107676110260336	3.993650853581919e-13	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.04365079365079365	0.021871732310909723	1.995762979826725	0.9969403939552732	2.1689869724367377	1.9954782608695651	7.02724257691098
positive_only	RBP	eCLIP	K562	SF3B4	SF3B4	ENCSR267OLV	ENCFF649GEE	/rhome/yzhan677/bigdata/eCLIP_K562/SF3B4/SF3B4_K562_ENCSR267OLV_ENCFF649GEE_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	706	999	26.69187145557656	17.41328220324211	1246	2182	1.72685733696564	5.489436059461996e-22	386	181	14.593572778827976	3.1549590378246477	504	201	5.245111634493334	1.588498124559034e-76	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.26700680272108845	0.1741896131056117	1.5328514597434773	0.6162179000792994	9.278589252334449	1.5328455109173447	21.260472269182642
positive_only	RBP	eCLIP	K562	SRSF9	SRSF9	ENCSR381VNR	ENCFF781BNS	/rhome/yzhan677/bigdata/eCLIP_K562/SRSF9/SRSF9_K562_ENCSR381VNR_ENCFF781BNS_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	5	2	0.1890359168241966	0.0348614258323165	12	2	5.430871212121212	0.0357618042321879	4	0	0.1512287334593572	0.0	11	0	inf	0.0099000502141033	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.0020786092214663643	0.000435691878703381	4.770823885109599	2.2542384302399223	0.1541744909918801	5.4224952741020855	1.4465805785697188
