Category	Cell_line	Class	Class_label	Original_ID	Target	Experiment	raw_occupancy_ratio	log2_IR_vs_nonIR_occupancy_ratio
RBP	HepG2	positive_only	IR RBPs	PCBP1	PCBP1	ENCSR256CHX	3.956634998467668	1.9998791137440988
RBP	HepG2	positive_only	IR RBPs	PCBP2	PCBP2	ENCSR339FUY	2.358488765186549	1.2421271674414371
RBP	HepG2	positive_only	IR RBPs	SF3B4	SF3B4	ENCSR279UJF	3.20319370466299	1.6801924593020925
RBP	HepG2	positive_only	IR RBPs	SFPQ	SFPQ	ENCSR965DLL	2.5090856087843743	1.4224480595452644
RBP	HepG2	positive_only	IR RBPs	SRSF9	SRSF9	ENCSR773KRC	16.72723739189583	4.061858344288797
RBP	K562	positive_only	IR RBPs	MBNL1	MBNL1	ENCSR497XZI	2.3239265460437486	1.215588293416273
RBP	K562	positive_only	IR RBPs	NONO	NONO	ENCSR861PAR	3.264912943985673	1.704213005129927
RBP	K562	positive_only	IR RBPs	PCBP1	PCBP1	ENCSR922WJV	1.9954782608695647	0.9969403939552732
RBP	K562	positive_only	IR RBPs	SF3B4	SF3B4	ENCSR267OLV	1.5328455109173449	0.6162179000792994
RBP	K562	positive_only	IR RBPs	SRSF9	SRSF9	ENCSR381VNR	5.4224952741020855	2.2542384302399223
TF	HepG2	positive_only	IR TFs	E2F8	E2F8	ENCSR634GEO	1.3678600590759382	0.4606090545388555
TF	HepG2	positive_only	IR TFs	KLF11	KLF11	ENCSR616OSG	1.4327647626763145	0.5379371498746857
TF	HepG2	positive_only	IR TFs	KLF12	KLF12	ENCSR552YWL	1.736808609716976	0.8102414710131657
TF	HepG2	positive_only	IR TFs	KLF13	KLF13	ENCSR756SZU	3.0577816124038875	1.6307297685285598
TF	HepG2	positive_only	IR TFs	KLF15	KLF15	ENCSR860ONE	3.070821192840578	1.6402952543096811
TF	HepG2	positive_only	IR TFs	KLF16	KLF16	ENCSR913KJZ	1.758504443763408	0.8898898651098095
TF	HepG2	positive_only	IR TFs	MYRF	MYRF	ENCSR792MZV	1.6485979160281945	0.7506962039245172
TF	HepG2	positive_only	IR TFs	REST	REST	ENCSR000BOT	1.2447493398770255	0.3345470864777531
TF	HepG2	positive_only	IR TFs	SP1	SP1	ENCSR460YAM	1.306694699262994	0.4032487799870345
TF	HepG2	positive_only	IR TFs	SP4	SP4	ENCSR642PQK	1.897898088695873	0.9325210752346156
TF	HepG2	positive_only	IR TFs	ZNF180	ZNF180	ENCSR298DSB	2.2860557768924297	1.2509604562047782
TF	HepG2	positive_only	IR TFs	ZNF30	ZNF30	ENCSR891KNP	1.9455793845893024	0.9967836492776684
TF	HepG2	positive_only	IR TFs	ZNF441	ZNF441	ENCSR673GDQ	1.296712310422177	0.3905399277211722
TF	HepG2	positive_only	IR TFs	ZNF564	ZNF564	ENCSR397EOT	1.4544956421102224	0.5576574451472004
TF	HepG2	positive_only	IR TFs	ZNF704	ZNF704	ENCSR523RGJ	1.78855083264066	0.8581573047729065
TF	K562	positive_only	IR TFs	E2F8	E2F8	ENCSR953DVM	1.5962323750603522	0.6754944522539235
TF	K562	positive_only	IR TFs	KLF13	KLF13	ENCSR608HVP	1.2353858798389086	0.307030955352952
TF	K562	positive_only	IR TFs	KLF16	KLF16	ENCSR760UVO	0.8315226018704204	-0.2641173297953182
TF	K562	positive_only	IR TFs	REST	REST	ENCSR054JMQ	1.543325578013669	0.6276159594776739
TF	K562	positive_only	IR TFs	SP1	SP1	ENCSR372IML	1.433377803129228	0.5200467797768266
TF	HepG2	control	control TFs	E2F1	E2F1	ENCSR717ZZW	1.3291021958676918	0.4405793070542461
TF	HepG2	control	control TFs	ETV5	ETV5	ENCSR096IIB	0.9065393598021704	-0.1294939037919726
