Class	Category	Original_ID	ENCODE_Target	Assay	Cell_Line	Run_ID	Condition	Replicate_Index	Biological_Replicate	Read	Experiment	File_Accession	Download_URL	Local_Subdir	Local_File
positive	TF	ERF	ERF	CRISPRi RNA-seq	K562	ERF_K562	KO	1	1	1	ENCSR268DNJ	ENCFF505RLY	https://www.encodeproject.org/files/ENCFF505RLY/@@download/ENCFF505RLY.fastq.gz	TF_knockdown/ERF_K562	ERF_K562_1_1.fastq.gz
positive	TF	ERF	ERF	CRISPRi RNA-seq	K562	ERF_K562	KO	1	1	2	ENCSR268DNJ	ENCFF074RIY	https://www.encodeproject.org/files/ENCFF074RIY/@@download/ENCFF074RIY.fastq.gz	TF_knockdown/ERF_K562	ERF_K562_1_2.fastq.gz
positive	TF	ERF	ERF	CRISPRi RNA-seq	K562	ERF_K562	KO	2	2	1	ENCSR268DNJ	ENCFF855BLA	https://www.encodeproject.org/files/ENCFF855BLA/@@download/ENCFF855BLA.fastq.gz	TF_knockdown/ERF_K562	ERF_K562_2_1.fastq.gz
positive	TF	ERF	ERF	CRISPRi RNA-seq	K562	ERF_K562	KO	2	2	2	ENCSR268DNJ	ENCFF424DAC	https://www.encodeproject.org/files/ENCFF424DAC/@@download/ENCFF424DAC.fastq.gz	TF_knockdown/ERF_K562	ERF_K562_2_2.fastq.gz
positive	TF	ERF	ERF	CRISPRi RNA-seq	K562	ERF_K562	control	1	1	1	ENCSR095PIC	ENCFF112FMQ	https://www.encodeproject.org/files/ENCFF112FMQ/@@download/ENCFF112FMQ.fastq.gz	TF_knockdown/ERF_K562	ERF_K562_control1_1.fastq.gz
positive	TF	ERF	ERF	CRISPRi RNA-seq	K562	ERF_K562	control	1	1	2	ENCSR095PIC	ENCFF436EDN	https://www.encodeproject.org/files/ENCFF436EDN/@@download/ENCFF436EDN.fastq.gz	TF_knockdown/ERF_K562	ERF_K562_control1_2.fastq.gz
positive	TF	ERF	ERF	CRISPRi RNA-seq	K562	ERF_K562	control	2	2	1	ENCSR095PIC	ENCFF615EBT	https://www.encodeproject.org/files/ENCFF615EBT/@@download/ENCFF615EBT.fastq.gz	TF_knockdown/ERF_K562	ERF_K562_control2_1.fastq.gz
positive	TF	ERF	ERF	CRISPRi RNA-seq	K562	ERF_K562	control	2	2	2	ENCSR095PIC	ENCFF692YJK	https://www.encodeproject.org/files/ENCFF692YJK/@@download/ENCFF692YJK.fastq.gz	TF_knockdown/ERF_K562	ERF_K562_control2_2.fastq.gz
positive	TF	KLF2	KLF2	CRISPRi RNA-seq	K562	KLF2_K562	KO	1	1	1	ENCSR620DOP	ENCFF343HHD	https://www.encodeproject.org/files/ENCFF343HHD/@@download/ENCFF343HHD.fastq.gz	TF_knockdown/KLF2_K562	KLF2_K562_1_1.fastq.gz
positive	TF	KLF2	KLF2	CRISPRi RNA-seq	K562	KLF2_K562	KO	1	1	2	ENCSR620DOP	ENCFF542NYJ	https://www.encodeproject.org/files/ENCFF542NYJ/@@download/ENCFF542NYJ.fastq.gz	TF_knockdown/KLF2_K562	KLF2_K562_1_2.fastq.gz
positive	TF	KLF2	KLF2	CRISPRi RNA-seq	K562	KLF2_K562	KO	2	2	1	ENCSR620DOP	ENCFF605PSQ	https://www.encodeproject.org/files/ENCFF605PSQ/@@download/ENCFF605PSQ.fastq.gz	TF_knockdown/KLF2_K562	KLF2_K562_2_1.fastq.gz
positive	TF	KLF2	KLF2	CRISPRi RNA-seq	K562	KLF2_K562	KO	2	2	2	ENCSR620DOP	ENCFF125MSP	https://www.encodeproject.org/files/ENCFF125MSP/@@download/ENCFF125MSP.fastq.gz	TF_knockdown/KLF2_K562	KLF2_K562_2_2.fastq.gz
positive	TF	KLF2	KLF2	CRISPRi RNA-seq	K562	KLF2_K562	control	1	1	1	ENCSR095PIC	ENCFF112FMQ	https://www.encodeproject.org/files/ENCFF112FMQ/@@download/ENCFF112FMQ.fastq.gz	TF_knockdown/KLF2_K562	KLF2_K562_control1_1.fastq.gz
positive	TF	KLF2	KLF2	CRISPRi RNA-seq	K562	KLF2_K562	control	1	1	2	ENCSR095PIC	ENCFF436EDN	https://www.encodeproject.org/files/ENCFF436EDN/@@download/ENCFF436EDN.fastq.gz	TF_knockdown/KLF2_K562	KLF2_K562_control1_2.fastq.gz
positive	TF	KLF2	KLF2	CRISPRi RNA-seq	K562	KLF2_K562	control	2	2	1	ENCSR095PIC	ENCFF615EBT	https://www.encodeproject.org/files/ENCFF615EBT/@@download/ENCFF615EBT.fastq.gz	TF_knockdown/KLF2_K562	KLF2_K562_control2_1.fastq.gz
positive	TF	KLF2	KLF2	CRISPRi RNA-seq	K562	KLF2_K562	control	2	2	2	ENCSR095PIC	ENCFF692YJK	https://www.encodeproject.org/files/ENCFF692YJK/@@download/ENCFF692YJK.fastq.gz	TF_knockdown/KLF2_K562	KLF2_K562_control2_2.fastq.gz
positive	TF	NRF1	NRF1	CRISPRi RNA-seq	K562	NRF1_K562	KO	1	1	1	ENCSR299HUJ	ENCFF662JSD	https://www.encodeproject.org/files/ENCFF662JSD/@@download/ENCFF662JSD.fastq.gz	TF_knockdown/NRF1_K562	NRF1_K562_1_1.fastq.gz
positive	TF	NRF1	NRF1	CRISPRi RNA-seq	K562	NRF1_K562	KO	1	1	2	ENCSR299HUJ	ENCFF310ZWY	https://www.encodeproject.org/files/ENCFF310ZWY/@@download/ENCFF310ZWY.fastq.gz	TF_knockdown/NRF1_K562	NRF1_K562_1_2.fastq.gz
positive	TF	NRF1	NRF1	CRISPRi RNA-seq	K562	NRF1_K562	KO	2	3	1	ENCSR299HUJ	ENCFF337RYW	https://www.encodeproject.org/files/ENCFF337RYW/@@download/ENCFF337RYW.fastq.gz	TF_knockdown/NRF1_K562	NRF1_K562_2_1.fastq.gz
positive	TF	NRF1	NRF1	CRISPRi RNA-seq	K562	NRF1_K562	KO	2	3	2	ENCSR299HUJ	ENCFF210GYE	https://www.encodeproject.org/files/ENCFF210GYE/@@download/ENCFF210GYE.fastq.gz	TF_knockdown/NRF1_K562	NRF1_K562_2_2.fastq.gz
positive	TF	NRF1	NRF1	CRISPRi RNA-seq	K562	NRF1_K562	control	1	1	1	ENCSR095PIC	ENCFF112FMQ	https://www.encodeproject.org/files/ENCFF112FMQ/@@download/ENCFF112FMQ.fastq.gz	TF_knockdown/NRF1_K562	NRF1_K562_control1_1.fastq.gz
positive	TF	NRF1	NRF1	CRISPRi RNA-seq	K562	NRF1_K562	control	1	1	2	ENCSR095PIC	ENCFF436EDN	https://www.encodeproject.org/files/ENCFF436EDN/@@download/ENCFF436EDN.fastq.gz	TF_knockdown/NRF1_K562	NRF1_K562_control1_2.fastq.gz
