Class	Category	Original_ID	ENCODE_Target	Assay	Reason
positive	TF	ASCL2	ASCL2	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	TF	BHLHE40	BHLHE40	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	TF	CDC5L	CDC5L	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	TF	CEBPD	CEBPD	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	TF	CEBPE	CEBPE	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	TF	CEBPG	CEBPG	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	TF	CENPB	CENPB	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	TF	CLOCK	CLOCK	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	TF	CTCFL	CTCFL	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	TF	CXXC1	CXXC1	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	TF	DNMT1	DNMT1	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	TF	E2F1	E2F1	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	TF	E2F4	E2F4	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	TF	E2F5	E2F5	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	TF	E2F6	E2F6	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	TF	E2F8	E2F8	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	TF	EBF1	EBF1	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	TF	EGR2	EGR2	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	TF	EGR3	EGR3	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	TF	ELF1	ELF1	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	TF	ELF2	ELF2	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	TF	ELF5	ELF5	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	TF	ELK1	ELK1	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
