Class	Category	Original_ID	ENCODE_Target	Assay	Cell_Line	Run_ID	KD_Experiment	Control_Experiment	Used_Replicate_Count	KD_Available_Replicate_Count	Control_Available_Replicate_Count	KD_Description	Control_Description	KD_Link	Control_Link
positive	TF	ERF	ERF	CRISPRi RNA-seq	K562	ERF_K562	ENCSR268DNJ	ENCSR095PIC	2	2	2	RNA-seq on K562 cells treated by CRISPR interference targeting ERF.	RNA-seq on K562 cells treated by CRISPR interference for a non-specific target (batch E control).	https://www.encodeproject.org/experiments/ENCSR268DNJ/	https://www.encodeproject.org/experiments/ENCSR095PIC/
positive	TF	KLF2	KLF2	CRISPRi RNA-seq	K562	KLF2_K562	ENCSR620DOP	ENCSR095PIC	2	2	2	RNA-seq on K562 cells treated by CRISPR interference targeting KLF2.	RNA-seq on K562 cells treated by CRISPR interference for a non-specific target (batch E control).	https://www.encodeproject.org/experiments/ENCSR620DOP/	https://www.encodeproject.org/experiments/ENCSR095PIC/
positive	TF	NRF1	NRF1	CRISPRi RNA-seq	K562	NRF1_K562	ENCSR299HUJ	ENCSR095PIC	2	3	2	RNA-seq on K562 cells treated by CRISPR interference targeting NRF1.	RNA-seq on K562 cells treated by CRISPR interference for a non-specific target (batch E control).	https://www.encodeproject.org/experiments/ENCSR299HUJ/	https://www.encodeproject.org/experiments/ENCSR095PIC/
positive	TF	SMAD5	SMAD5	CRISPRi RNA-seq	K562	SMAD5_K562	ENCSR731FEO	ENCSR095PIC	2	2	2	RNA-seq on K562 cells treated by CRISPR interference targeting SMAD5.	RNA-seq on K562 cells treated by CRISPR interference for a non-specific target (batch E control).	https://www.encodeproject.org/experiments/ENCSR731FEO/	https://www.encodeproject.org/experiments/ENCSR095PIC/
positive	TF	SP1	SP1	CRISPRi RNA-seq	K562	SP1_K562	ENCSR650QAK	ENCSR095PIC	2	3	2	RNA-seq on K562 cells treated by CRISPR interference targeting SP1.	RNA-seq on K562 cells treated by CRISPR interference for a non-specific target (batch E control).	https://www.encodeproject.org/experiments/ENCSR650QAK/	https://www.encodeproject.org/experiments/ENCSR095PIC/
positive	TF	TFDP1	TFDP1	CRISPRi RNA-seq	K562	TFDP1_K562	ENCSR552HTC	ENCSR095PIC	2	2	2	RNA-seq on K562 cells treated by CRISPR interference targeting TFDP1.	RNA-seq on K562 cells treated by CRISPR interference for a non-specific target (batch E control).	https://www.encodeproject.org/experiments/ENCSR552HTC/	https://www.encodeproject.org/experiments/ENCSR095PIC/
negative	TF	ARID3A	ARID3A	CRISPRi RNA-seq	K562	ARID3A_K562	ENCSR898UNK	ENCSR095PIC	2	2	2	RNA-seq on K562 cells treated by CRISPR interference targeting ARID3A.	RNA-seq on K562 cells treated by CRISPR interference for a non-specific target (batch E control).	https://www.encodeproject.org/experiments/ENCSR898UNK/	https://www.encodeproject.org/experiments/ENCSR095PIC/
negative	TF	DLX1	DLX1	CRISPRi RNA-seq	K562	DLX1_K562	ENCSR862UHT	ENCSR095PIC	2	2	2	RNA-seq on K562 cells treated by CRISPR interference targeting DLX1.	RNA-seq on K562 cells treated by CRISPR interference for a non-specific target (batch E control).	https://www.encodeproject.org/experiments/ENCSR862UHT/	https://www.encodeproject.org/experiments/ENCSR095PIC/
negative	TF	HOXB4	HOXB4	CRISPRi RNA-seq	K562	HOXB4_K562	ENCSR359VJC	ENCSR095PIC	2	2	2	RNA-seq on K562 cells treated by CRISPR interference targeting HOXB4.	RNA-seq on K562 cells treated by CRISPR interference for a non-specific target (batch E control).	https://www.encodeproject.org/experiments/ENCSR359VJC/	https://www.encodeproject.org/experiments/ENCSR095PIC/
negative	TF	HOXB9	HOXB9	CRISPRi RNA-seq	K562	HOXB9_K562	ENCSR810RIC	ENCSR016WFQ	2	2	2	RNA-seq on K562 cells treated by CRISPR interference targeting HOXB9.	RNA-seq on K562 cells treated by CRISPR interference for a non-specific target (batch C control).	https://www.encodeproject.org/experiments/ENCSR810RIC/	https://www.encodeproject.org/experiments/ENCSR016WFQ/
