run_id	archived_type	archived_class	current_type	current_class
ARX	TF	positive_and_negative	ABSENT	ABSENT
E2F6	ABSENT	ABSENT	TF	positive
E2F7	TF	positive_and_negative	TF	positive
ERF_K562	ABSENT	ABSENT	TF	positive
FOXF2	TF	negative	ABSENT	ABSENT
GLI1	TF	negative	TF	positive
HAND2	TF	positive_and_negative	ABSENT	ABSENT
KLF2_K562	ABSENT	ABSENT	TF	positive
MAZ	TF	negative	TF	positive
NR4A1	TF	positive_and_negative	ABSENT	ABSENT
POU6F1	TF	positive_and_negative	ABSENT	ABSENT
SNAI1	TF	positive_and_negative	ABSENT	ABSENT
SOX13	TF	positive_and_negative	ABSENT	ABSENT
SOX15	TF	positive_and_negative	ABSENT	ABSENT
SOX17	TF	positive_and_negative	ABSENT	ABSENT
TCF3	TF	positive_and_negative	ABSENT	ABSENT
TCF4	TF	positive_and_negative	ABSENT	ABSENT
TCF7L1	TF	positive_and_negative	TF	negative
TFDP1_K562	ABSENT	ABSENT	TF	positive
ZEB1	TF	positive_and_negative	TF	negative
ZEB2	TF	positive_and_negative	ABSENT	ABSENT
ZNF281	TF	positive_and_negative	TF	positive
